2016/3/25 19:31:56 End
2016/3/25 19:32:22 Start
2016/3/25 20:00:48 update hr_employee
2016/3/25 20:00:48 total: 1
2016/3/25 20:00:49 update sys_user
2016/3/25 20:00:49 total: 1
2016/3/25 20:00:49 synchronous end
2016/3/26 8:58:21 Start
2016/3/26 8:58:22 Init Data
2016/3/26 8:58:22 immediately:True;hour:9,12,15,18;fromDB:data source=erpdbdev;persist security info=True;user id=panshierp;password=123@123;;toDB:Database=psdrp3;Data Source=192.168.32.215;User Id=root;Password=8812345;Port=3306;charset=utf8;
2016/3/26 8:58:31 synchronous start
2016/3/26 9:00:03 update hr_postion_level
2016/3/26 9:00:03 total: 1
2016/3/26 9:00:03 update hr_department
2016/3/26 9:00:03 total: 450
2016/3/26 9:00:06 update hr_employee
2016/3/26 9:00:06 total: 1
2016/3/26 9:00:07 synchronous end
2016/3/26 9:00:07 Init Timer
2016/3/26 9:00:07 End Init
2016/3/26 9:01:07 synchronous start
2016/3/26 9:01:07 update hr_postion_level
2016/3/26 9:01:07 total: 1
2016/3/26 9:01:07 update hr_department
2016/3/26 9:01:07 total: 450
2016/3/26 9:01:10 update hr_employee
2016/3/26 9:01:10 total: 1
2016/3/26 9:01:11 synchronous end
2016/3/26 9:02:07 synchronous start
2016/3/26 9:02:07 update hr_postion_level
2016/3/26 9:02:07 total: 1
2016/3/26 9:02:07 update hr_department
2016/3/26 9:02:07 total: 450
2016/3/26 9:02:10 update hr_employee
2016/3/26 9:02:10 total: 1
2016/3/26 9:02:11 synchronous end
2016/3/26 9:03:07 synchronous start
2016/3/26 9:03:07 update hr_postion_level
2016/3/26 9:03:07 total: 1
2016/3/26 9:03:07 update hr_department
2016/3/26 9:03:07 total: 450
2016/3/26 9:03:10 update hr_employee
2016/3/26 9:03:10 total: 1
2016/3/26 9:03:11 synchronous end
2016/3/26 9:04:07 synchronous start
2016/3/26 9:04:07 update hr_postion_level
2016/3/26 9:04:07 total: 1
2016/3/26 9:04:07 update hr_department
2016/3/26 9:04:07 total: 450
2016/3/26 9:04:11 update hr_employee
2016/3/26 9:04:11 total: 1
2016/3/26 9:04:11 synchronous end
2016/3/26 9:05:07 synchronous start
2016/3/26 9:05:07 update hr_postion_level
2016/3/26 9:05:07 total: 1
2016/3/26 9:05:07 update hr_department
2016/3/26 9:05:07 total: 450
2016/3/26 9:05:10 update hr_employee
2016/3/26 9:05:10 total: 1
2016/3/26 9:05:11 synchronous end
2016/3/26 9:06:07 synchronous start
2016/3/26 9:06:07 update hr_postion_level
2016/3/26 9:06:07 total: 1
2016/3/26 9:06:07 update hr_department
2016/3/26 9:06:07 total: 450
2016/3/26 9:06:11 update hr_employee
2016/3/26 9:06:11 total: 1
2016/3/26 9:06:11 synchronous end
2016/3/26 9:07:07 synchronous start
2016/3/26 9:07:07 update hr_postion_level
2016/3/26 9:07:07 total: 1
2016/3/26 9:07:07 update hr_department
2016/3/26 9:07:07 total: 450
2016/3/26 9:07:10 update hr_employee
2016/3/26 9:07:10 total: 1
2016/3/26 9:07:11 synchronous end
2016/3/26 9:08:07 synchronous start
2016/3/26 9:08:07 update hr_postion_level
2016/3/26 9:08:07 total: 1
2016/3/26 9:08:07 update hr_department
2016/3/26 9:08:07 total: 450
2016/3/26 9:08:11 update hr_employee
2016/3/26 9:08:11 total: 1
2016/3/26 9:08:11 synchronous end
2016/3/26 9:09:07 synchronous start
2016/3/26 9:09:07 update hr_postion_level
2016/3/26 9:09:07 total: 1
2016/3/26 9:09:07 update hr_department
2016/3/26 9:09:07 total: 450
2016/3/26 9:09:10 update hr_employee
2016/3/26 9:09:10 total: 1
2016/3/26 9:09:11 synchronous end
2016/3/26 9:10:07 synchronous start
2016/3/26 9:10:07 update hr_postion_level
2016/3/26 9:10:07 total: 1
2016/3/26 9:10:07 update hr_department
2016/3/26 9:10:07 total: 450
2016/3/26 9:10:11 update hr_employee
2016/3/26 9:10:11 total: 1
2016/3/26 9:10:11 synchronous end
2016/3/26 9:11:07 synchronous start
2016/3/26 9:11:07 update hr_postion_level
2016/3/26 9:11:07 total: 1
2016/3/26 9:11:07 update hr_department
2016/3/26 9:11:07 total: 450
2016/3/26 9:11:10 update hr_employee
2016/3/26 9:11:10 total: 1
2016/3/26 9:11:11 synchronous end
2016/3/26 9:12:07 synchronous start
2016/3/26 9:12:07 update hr_postion_level
2016/3/26 9:12:07 total: 1
2016/3/26 9:12:07 update hr_department
2016/3/26 9:12:07 total: 450
2016/3/26 9:12:10 update hr_employee
2016/3/26 9:12:10 total: 1
2016/3/26 9:12:11 synchronous end
2016/3/26 9:13:07 synchronous start
2016/3/26 9:13:07 update hr_postion_level
2016/3/26 9:13:07 total: 1
2016/3/26 9:13:07 update hr_department
2016/3/26 9:13:07 total: 450
2016/3/26 9:13:10 update hr_employee
2016/3/26 9:13:10 total: 1
2016/3/26 9:13:11 synchronous end
2016/3/26 9:14:07 synchronous start
2016/3/26 9:14:07 update hr_postion_level
2016/3/26 9:14:07 total: 1
2016/3/26 9:14:07 update hr_department
2016/3/26 9:14:07 total: 450
2016/3/26 9:14:10 update hr_employee
2016/3/26 9:14:10 total: 1
2016/3/26 9:14:11 synchronous end
2016/3/26 9:15:07 synchronous start
2016/3/26 9:15:07 update hr_postion_level
2016/3/26 9:15:07 total: 1
2016/3/26 9:15:07 update hr_department
2016/3/26 9:15:07 total: 450
2016/3/26 9:15:11 update hr_employee
2016/3/26 9:15:11 total: 1
2016/3/26 9:15:11 synchronous end
2016/3/26 9:16:07 synchronous start
2016/3/26 9:16:07 update hr_postion_level
2016/3/26 9:16:07 total: 1
2016/3/26 9:16:07 update hr_department
2016/3/26 9:16:07 total: 450
2016/3/26 9:16:11 update hr_employee
2016/3/26 9:16:11 total: 1
2016/3/26 9:16:11 synchronous end
2016/3/26 9:17:07 synchronous start
2016/3/26 9:17:07 update hr_postion_level
2016/3/26 9:17:07 total: 1
2016/3/26 9:17:07 update hr_department
2016/3/26 9:17:07 total: 450
2016/3/26 9:17:11 update hr_employee
2016/3/26 9:17:11 total: 1
2016/3/26 9:17:11 synchronous end
2016/3/26 9:18:07 synchronous start
2016/3/26 9:18:07 update hr_postion_level
2016/3/26 9:18:07 total: 1
2016/3/26 9:18:07 update hr_department
2016/3/26 9:18:07 total: 450
2016/3/26 9:18:11 update hr_employee
2016/3/26 9:18:11 total: 1
2016/3/26 9:18:11 synchronous end
2016/3/26 9:19:07 synchronous start
2016/3/26 9:19:07 update hr_postion_level
2016/3/26 9:19:07 total: 1
2016/3/26 9:19:07 update hr_department
2016/3/26 9:19:07 total: 450
2016/3/26 9:19:11 update hr_employee
2016/3/26 9:19:11 total: 1
2016/3/26 9:19:11 synchronous end
2016/3/26 9:20:07 synchronous start
2016/3/26 9:20:07 update hr_postion_level
2016/3/26 9:20:07 total: 1
2016/3/26 9:20:07 update hr_department
2016/3/26 9:20:07 total: 450
2016/3/26 9:20:11 update hr_employee
2016/3/26 9:20:11 total: 1
2016/3/26 9:20:11 synchronous end
2016/3/26 9:21:07 synchronous start
2016/3/26 9:21:07 update hr_postion_level
2016/3/26 9:21:07 total: 1
2016/3/26 9:21:08 update hr_department
2016/3/26 9:21:08 total: 450
2016/3/26 9:21:11 update hr_employee
2016/3/26 9:21:11 total: 1
2016/3/26 9:21:11 synchronous end
2016/3/26 9:21:50 End
2016/3/26 9:22:34 Start
2016/3/26 9:22:34 Init Data
2016/3/26 9:22:34 immediately:True;hour:9,12,15,18;fromDB:data source=erpdbdev;persist security info=True;user id=panshierp;password=123@123;;toDB:Database=psdrp3;Data Source=192.168.32.215;User Id=root;Password=8812345;Port=3306;charset=utf8;
2016/3/26 9:22:34 synchronous start
2016/3/26 9:22:35 update hr_postion_level
2016/3/26 9:22:35 total: 1
2016/3/26 9:22:35 update hr_department
2016/3/26 9:22:35 total: 450
2016/3/26 9:22:38 update hr_employee
2016/3/26 9:22:38 total: 1
2016/3/26 9:22:38 synchronous end
2016/3/26 9:22:38 Init Timer
2016/3/26 9:22:38 End Init
2016/3/26 9:26:04 synchronous start
2016/3/26 9:28:47 update hr_postion_level
2016/3/26 9:28:47 total: 1
2016/3/26 9:28:47 update hr_department
2016/3/26 9:28:47 total: 450
2016/3/26 9:28:51 update hr_employee
2016/3/26 9:28:51 total: 1
2016/3/26 9:28:51 synchronous end
2016/3/26 9:31:38 synchronous start
2016/3/26 9:31:38 update hr_postion_level
2016/3/26 9:31:38 total: 1
2016/3/26 9:31:38 update hr_department
2016/3/26 9:31:38 total: 450
2016/3/26 9:31:41 update hr_employee
2016/3/26 9:31:41 total: 1
2016/3/26 9:31:42 synchronous end
2016/3/26 9:34:38 synchronous start
2016/3/26 9:34:38 update hr_postion_level
2016/3/26 9:34:38 total: 1
2016/3/26 9:34:38 update hr_department
2016/3/26 9:34:38 total: 450
2016/3/26 9:34:41 update hr_employee
2016/3/26 9:34:41 total: 1
2016/3/26 9:34:42 synchronous end
2016/3/26 9:37:38 synchronous start
2016/3/26 9:37:38 update hr_postion_level
2016/3/26 9:37:38 total: 1
2016/3/26 9:37:38 update hr_department
2016/3/26 9:37:38 total: 450
2016/3/26 9:37:41 update hr_employee
2016/3/26 9:37:41 total: 1
2016/3/26 9:37:42 synchronous end
2016/3/26 9:40:45 synchronous start
2016/3/26 9:42:42 update hr_postion_level
2016/3/26 9:42:42 total: 1
2016/3/26 9:42:42 update hr_department
2016/3/26 9:42:42 total: 450
2016/3/26 9:42:45 update hr_employee
2016/3/26 9:42:45 total: 1
2016/3/26 9:42:46 synchronous end
2016/3/26 9:43:43 synchronous start
2016/3/26 9:44:29 update hr_postion_level
2016/3/26 9:44:29 total: 1
2016/3/26 9:46:36 update hr_department
2016/3/26 9:46:36 total: 450
2016/3/26 9:46:39 update hr_employee
2016/3/26 9:46:39 total: 1
2016/3/26 9:46:40 synchronous end
2016/3/26 9:49:51 synchronous start
2016/3/26 9:51:15 update hr_postion_level
2016/3/26 9:51:17 total: 1
2016/3/26 9:52:55 update hr_department
2016/3/26 9:52:55 total: 450
2016/3/26 9:52:59 update hr_employee
2016/3/26 9:52:59 total: 1
2016/3/26 9:52:59 synchronous end
2016/3/26 9:55:49 synchronous start
2016/3/26 9:56:35 update hr_postion_level
2016/3/26 9:56:38 total: 1
2016/3/26 9:56:51 update hr_department
2016/3/26 9:56:54 total: 450
2016/3/26 9:57:41 update hr_employee
2016/3/26 9:57:41 total: 1
2016/3/26 9:57:41 synchronous end
2016/3/26 9:58:39 synchronous start
2016/3/26 9:58:39 update hr_postion_level
2016/3/26 9:58:39 total: 1
2016/3/26 9:58:39 update hr_department
2016/3/26 9:58:39 total: 450
2016/3/26 9:58:42 update hr_employee
2016/3/26 9:58:42 total: 1
2016/3/26 9:58:42 synchronous end
2016/3/26 10:01:39 synchronous start
2016/3/26 10:01:39 update hr_postion_level
2016/3/26 10:01:39 total: 1
2016/3/26 10:01:39 update hr_department
2016/3/26 10:01:39 total: 450
2016/3/26 10:01:42 update hr_employee
2016/3/26 10:01:42 total: 1
2016/3/26 10:01:42 synchronous end
2016/3/26 10:04:44 synchronous start
2016/3/26 10:05:35 update hr_postion_level
2016/3/26 10:05:37 total: 1
2016/3/26 10:07:48 update hr_department
2016/3/26 10:07:48 total: 450
2016/3/26 10:07:51 update hr_employee
2016/3/26 10:07:51 total: 1
2016/3/26 10:07:51 synchronous end
2016/3/26 10:10:44 synchronous start
2016/3/26 10:11:23 update hr_postion_level
2016/3/26 10:11:25 total: 1
2016/3/26 10:14:34 update hr_department
2016/3/26 10:14:34 total: 450
2016/3/26 10:14:37 update hr_employee
2016/3/26 10:14:37 total: 1
2016/3/26 10:14:37 synchronous end
2016/3/26 10:17:34 synchronous start
2016/3/26 10:17:34 update hr_postion_level
2016/3/26 10:17:34 total: 1
2016/3/26 10:17:34 update hr_department
2016/3/26 10:17:34 total: 450
2016/3/26 10:17:58 update hr_employee
2016/3/26 10:18:29 Start
2016/3/26 10:18:29 Init Data
2016/3/26 10:18:29 immediately:True;hour:9,12,15,18;fromDB:data source=erpdbdev;persist security info=True;user id=panshierp;password=123@123;;toDB:Database=psdrp3;Data Source=192.168.32.215;User Id=root;Password=8812345;Port=3306;charset=utf8;
2016/3/26 10:18:29 synchronous start
2016/3/26 10:18:30 update hr_postion_level
2016/3/26 10:18:30 total: 1
2016/3/26 10:18:30 update hr_department
2016/3/26 10:18:30 total: 450
2016/3/26 10:18:33 update hr_employee
2016/3/26 10:18:33 total: 1
2016/3/26 10:18:33 synchronous end
2016/3/26 10:18:33 Init Timer
2016/3/26 10:18:33 End Init
2016/3/26 10:21:38 synchronous start
2016/3/26 10:21:49 update hr_postion_level
2016/3/26 10:21:50 total: 1
2016/3/26 10:25:26 update hr_department
2016/3/26 10:25:26 total: 450
2016/3/26 10:25:29 update hr_employee
2016/3/26 10:25:29 total: 1
2016/3/26 10:25:29 synchronous end
2016/3/26 10:28:26 synchronous start
2016/3/26 10:28:26 update hr_postion_level
2016/3/26 10:28:26 total: 1
2016/3/26 10:28:26 update hr_department
2016/3/26 10:28:26 total: 450
2016/3/26 10:28:29 update hr_employee
2016/3/26 10:28:29 total: 1
2016/3/26 10:28:29 synchronous end
2016/3/26 10:32:07 synchronous start
2016/3/26 10:32:13 update hr_postion_level
2016/3/26 10:32:13 total: 1
2016/3/26 10:33:25 update hr_department
2016/3/26 10:33:25 total: 450
2016/3/26 10:33:28 update hr_employee
2016/3/26 10:33:28 total: 1
2016/3/26 10:33:29 synchronous end
2016/3/26 10:34:26 synchronous start
2016/3/26 10:34:26 update hr_postion_level
2016/3/26 10:34:26 total: 1
2016/3/26 10:34:26 update hr_department
2016/3/26 10:34:26 total: 450
2016/3/26 10:34:29 update hr_employee
2016/3/26 10:34:29 total: 1
2016/3/26 10:34:29 synchronous end
2016/3/26 10:37:26 synchronous start
2016/3/26 10:37:26 update hr_postion_level
2016/3/26 10:37:26 total: 1
2016/3/26 10:37:26 update hr_department
2016/3/26 10:37:26 total: 450
2016/3/26 10:37:29 update hr_employee
2016/3/26 10:37:29 total: 1
2016/3/26 10:37:29 synchronous end
2016/3/26 10:39:31 End
2016/3/26 10:40:21 Start
2016/3/26 10:40:21 Init Data
2016/3/26 10:40:21 immediately:True;hour:9,12,15,18;fromDB:data source=erpdbdev;persist security info=True;user id=panshierp;password=123@123;;toDB:Database=psdrp3;Data Source=192.168.32.215;User Id=root;Password=8812345;Port=3306;charset=utf8;
2016/3/26 10:40:21 synchronous start
2016/3/26 10:40:22 update hr_postion_level
2016/3/26 10:40:22 total: 1
2016/3/26 10:40:22 update hr_department
2016/3/26 10:40:22 total: 225
2016/3/26 10:40:24 update hr_employee
2016/3/26 10:40:24 total: 1
2016/3/26 10:40:24 synchronous end
2016/3/26 10:40:24 Init Timer
2016/3/26 10:40:24 End Init
2016/3/26 10:43:24 synchronous start
2016/3/26 10:43:24 update hr_postion_level
2016/3/26 10:43:24 total: 1
2016/3/26 10:43:24 update hr_department
2016/3/26 10:43:24 total: 225
2016/3/26 10:43:26 update hr_employee
2016/3/26 10:43:26 total: 1
2016/3/26 10:43:27 update sys_user
2016/3/26 10:43:27 total: 4
2016/3/26 10:43:27 synchronous end
2016/3/26 10:46:24 synchronous start
2016/3/26 10:46:24 update hr_postion_level
2016/3/26 10:46:24 total: 1
2016/3/26 10:46:24 update hr_department
2016/3/26 10:46:24 total: 225
2016/3/26 10:46:26 update hr_employee
2016/3/26 10:46:26 total: 1
2016/3/26 10:46:27 synchronous end
2016/3/26 10:49:24 synchronous start
2016/3/26 10:49:24 update hr_postion_level
2016/3/26 10:49:24 total: 1
2016/3/26 10:49:24 update hr_department
2016/3/26 10:49:24 total: 225
2016/3/26 10:49:26 update hr_employee
2016/3/26 10:49:26 total: 1
2016/3/26 10:49:27 synchronous end
2016/3/26 10:52:24 synchronous start
2016/3/26 10:52:24 update hr_postion_level
2016/3/26 10:52:24 total: 1
2016/3/26 10:52:24 update hr_department
2016/3/26 10:52:24 total: 225
2016/3/26 10:52:26 update hr_employee
2016/3/26 10:52:26 total: 1
2016/3/26 10:52:27 synchronous end
2016/3/26 10:54:07 End
2016/3/26 10:54:45 Start
2016/3/26 10:54:45 Init Data
2016/3/26 10:54:45 immediately:True;hour:9,12,15,18;fromDB:data source=erpdbdev;persist security info=True;user id=panshierp;password=123@123;;toDB:Database=psdrp3;Data Source=192.168.32.215;User Id=root;Password=8812345;Port=3306;charset=utf8;
2016/3/26 10:54:45 synchronous start
2016/3/26 10:54:45 update hr_postion_level
2016/3/26 10:54:45 total: 1
2016/3/26 10:54:45 update hr_department
2016/3/26 10:54:45 total: 450
2016/3/26 10:54:48 update hr_employee
2016/3/26 10:54:48 total: 1
2016/3/26 10:54:49 synchronous end
2016/3/26 10:54:49 Init Timer
2016/3/26 10:54:49 End Init
2016/3/26 10:57:53 synchronous start
2016/3/26 10:58:01 update hr_postion_level
2016/3/26 10:58:02 total: 1
2016/3/26 11:00:15 update hr_department
2016/3/26 11:00:15 total: 450
2016/3/26 11:00:18 update hr_employee
2016/3/26 11:00:18 total: 1
2016/3/26 11:00:18 synchronous end
2016/3/26 11:00:52 synchronous start
2016/3/26 11:00:58 update hr_postion_level
2016/3/26 11:00:59 total: 1
2016/3/26 11:01:27 update hr_department
2016/3/26 11:01:27 total: 450
2016/3/26 11:01:30 update hr_employee
2016/3/26 11:01:30 total: 1
2016/3/26 11:01:30 synchronous end
2016/3/26 11:04:13 Start
2016/3/26 11:04:13 Init Data
2016/3/26 11:04:13 immediately:True;hour:9,12,15,18;fromDB:data source=erpdbdev;persist security info=True;user id=panshierp;password=123@123;;toDB:Database=psdrp3;Data Source=192.168.32.215;User Id=root;Password=8812345;Port=3306;charset=utf8;
2016/3/26 11:04:13 synchronous start
2016/3/26 11:04:13 update hr_postion_level
2016/3/26 11:04:13 total: 1
2016/3/26 11:04:13 update hr_department
2016/3/26 11:04:13 total: 450
2016/3/26 11:04:16 update hr_employee
2016/3/26 11:04:16 total: 1
2016/3/26 11:04:17 synchronous end
2016/3/26 11:04:17 Init Timer
2016/3/26 11:04:17 End Init
2016/3/26 11:07:20 synchronous start
2016/3/26 11:07:33 update hr_postion_level
2016/3/26 11:07:34 total: 1
2016/3/26 11:08:56 update hr_department
2016/3/26 11:08:56 total: 450
2016/3/26 11:08:59 update hr_employee
2016/3/26 11:08:59 total: 1
2016/3/26 11:08:59 synchronous end
2016/3/26 11:10:17 synchronous start
2016/3/26 11:10:17 update hr_postion_level
2016/3/26 11:10:17 total: 1
2016/3/26 11:10:17 update hr_department
2016/3/26 11:10:17 total: 450
2016/3/26 11:10:20 update hr_employee
2016/3/26 11:10:20 total: 1
2016/3/26 11:10:20 synchronous end
2016/3/26 11:13:17 synchronous start
2016/3/26 11:13:17 update hr_postion_level
2016/3/26 11:13:17 total: 1
2016/3/26 11:13:17 update hr_department
2016/3/26 11:13:17 total: 450
2016/3/26 11:13:20 update hr_employee
2016/3/26 11:13:20 total: 1
2016/3/26 11:13:20 synchronous end
2016/3/26 11:16:17 synchronous start
2016/3/26 11:16:17 update hr_postion_level
